# Эталон полос окна для детектора оглавлений (scan_markup toc --labels).
# rel_path без расширения, label: contents | index | none, note — заметка.
# Размечено по контактным листам окна (первые 5 и последние 12 полос выпуска); у выпусков
# без пометки «частично» размечено всё окно.
rel_path,label,note
# --- 1975/12: оглавление на полосах 3-4, указатель статей за год в конце
1975/12/IMG_0103_2R,none,обложка
1975/12/IMG_0104_1L,none,новогоднее поздравление
1975/12/IMG_0104_2R,contents,шапка + СОДЕРЖАНИЕ
1975/12/IMG_0105_1L,contents,хвост + редколлегия
1975/12/IMG_0105_2R,none
1975/12/IMG_0147_2R,none
1975/12/IMG_0148_1L,none
1975/12/IMG_0148_2R,none
1975/12/IMG_0149_1L,index,заголовок «Указатель статей»
1975/12/IMG_0149_2R,index
1975/12/IMG_0150_1L,index
1975/12/IMG_0150_2R,index,surya молчит
1975/12/IMG_0151_1L,index
1975/12/IMG_0151_2R,index
1975/12/IMG_0152_1L,index
1975/12/IMG_0152_2R,none,реклама книг
1975/12/IMG_0153_1L,none,реклама книг
# --- 1966/01: одна полоса содержания в конце
1966/01/IMG_0003_2R,none,обложка
1966/01/IMG_0004_2R,none
1966/01/IMG_0005_1L,none
1966/01/IMG_0005_2R,none
1966/01/IMG_0006_1L,none
1966/01/IMG_0047_2R,none
1966/01/IMG_0048_1L,none
1966/01/IMG_0048_2R,none
1966/01/IMG_0049_1L,none
1966/01/IMG_0049_2R,none
1966/01/IMG_0050_1L,none
1966/01/IMG_0050_2R,none
1966/01/IMG_0051_1L,none
1966/01/IMG_0051_2R,none
1966/01/IMG_0052_1L,contents,верхняя половина полосы
1966/01/IMG_0052_2R,none,реклама
1966/01/IMG_0053_1L,none,реклама
# --- 1972/07 (частично): surya пропустила обе полосы; в конце таблицы норм отгрузки с отточиями
1972/07/IMG_0003_2R,none,обложка
1972/07/IMG_0004_1L,none
1972/07/IMG_0004_2R,contents
1972/07/IMG_0005_1L,contents,хвост в две строки
1972/07/IMG_0005_2R,none
1972/07/IMG_0051_1L,none,таблица норм отгрузки
1972/07/IMG_0051_2R,none,таблица норм отгрузки
1972/07/IMG_0052_1L,none,таблица норм отгрузки
1972/07/IMG_0052_2R,none,реклама книг
# --- 1967/12 (частично): указатель с некрологом посередине, содержание после него
1967/12/IMG_0146_2R,index,заголовок «Перечень материалов»
1967/12/IMG_0147_1L,index
1967/12/IMG_0147_2R,index,surya: Table
1967/12/IMG_0148_1L,index
1967/12/IMG_0148_2R,index,surya: Table
1967/12/IMG_0149_1L,index,surya: Table
1967/12/IMG_0149_2R,none,некролог с фотографией
1967/12/IMG_0150_1L,contents
1967/12/IMG_0150_2R,none,реклама книг
# --- 1974/08
1974/08/IMG_0053_2R,none,обложка
1974/08/IMG_0054_1L,none
1974/08/IMG_0054_2R,contents
1974/08/IMG_0055_1L,contents
1974/08/IMG_0055_2R,none
1974/08/IMG_0097_1L,none
1974/08/IMG_0097_2R,none
1974/08/IMG_0098_1L,none
1974/08/IMG_0098_2R,none
1974/08/IMG_0099_1L,none
1974/08/IMG_0099_2R,none
1974/08/IMG_0100_1L,none
1974/08/IMG_0100_2R,none
1974/08/IMG_0101_1L,none
1974/08/IMG_0101_2R,none
1974/08/IMG_0102_1L,none
1974/08/IMG_0102_2R,none,реклама книг
# --- 1976/10
1976/10/0030_2R,none,обложка
1976/10/0040_1L,none
1976/10/0040_2R,contents
1976/10/0050_1L,contents
1976/10/0060_2R,none
1976/10/0480_2R,none
1976/10/0490_1L,none
1976/10/0490_2R,none
1976/10/0500_1L,none
1976/10/0500_2R,none
1976/10/0510_1L,none
1976/10/0510_2R,none
1976/10/0520_1L,none
1976/10/0520_2R,none
1976/10/0530_1L,none
1976/10/0530_2R,none,реклама книг
1976/10/0540_1L,none,подписка
# --- 1966/06
1966/06/IMG_0103_2R,none,обложка
1966/06/IMG_0104_2R,none,первая полоса статьи
1966/06/IMG_0105_1L,none
1966/06/IMG_0105_2R,none
1966/06/IMG_0106_1L,none
1966/06/IMG_0146_2R,none,таблица
1966/06/IMG_0147_1L,none
1966/06/IMG_0147_2R,none
1966/06/IMG_0148_1L,none
1966/06/IMG_0148_2R,none
1966/06/IMG_0149_1L,none
1966/06/IMG_0149_2R,none
1966/06/IMG_0150_1L,none
1966/06/IMG_0150_2R,none
1966/06/IMG_0151_1L,none
1966/06/IMG_0151_2R,contents
1966/06/IMG_0152_1L,none,обращение к читателям
# --- 1973/12: перед указателем — таблицы приложения к Особым условиям
1973/12/IMG_0258_2R,none,обложка
1973/12/IMG_0259_1L,none
1973/12/IMG_0259_2R,contents
1973/12/IMG_0260_1L,contents
1973/12/IMG_0260_2R,none
1973/12/IMG_0302_1L,none,таблица
1973/12/IMG_0302_2R,none,таблица
1973/12/IMG_0303_1L,none,таблица
1973/12/IMG_0303_2R,none,таблица
1973/12/IMG_0304_1L,index
1973/12/IMG_0304_2R,index
1973/12/IMG_0305_1L,index
1973/12/IMG_0305_2R,index
1973/12/IMG_0306_1L,index
1973/12/IMG_0306_2R,index
1973/12/IMG_0307_1L,none,обращение к читателям
1973/12/IMG_0307_2R,none,реклама книг
# --- 1972/04: в конце маленькая таблица приложения
1972/04/IMG_0003_2R,none,обложка
1972/04/IMG_0004_1L,none
1972/04/IMG_0004_2R,contents
1972/04/IMG_0005_1L,contents
1972/04/IMG_0005_2R,none
1972/04/IMG_0047_2R,none
1972/04/IMG_0048_1L,none
1972/04/IMG_0048_2R,none
1972/04/IMG_0049_1L,none
1972/04/IMG_0049_2R,none
1972/04/IMG_0050_1L,none
1972/04/IMG_0050_2R,none
1972/04/IMG_0051_1L,none
1972/04/IMG_0051_2R,none
1972/04/IMG_0052_1L,none,таблица приложения
1972/04/IMG_0052_2R,none
1972/04/IMG_0053_1L,none,реклама книг
# --- 1975/03: surya на шапке молчит, блок на выходных данных крошечный; в конце реклама
1975/03/IMG_0102_2R,none,обложка
1975/03/IMG_0103_1L,none
1975/03/IMG_0103_2R,contents,surya и ключевое слово молчат
1975/03/IMG_0104_1L,contents
1975/03/IMG_0104_2R,none
1975/03/IMG_0146_2R,none
1975/03/IMG_0147_1L,none
1975/03/IMG_0147_2R,none
1975/03/IMG_0148_1L,none
1975/03/IMG_0148_2R,none
1975/03/IMG_0149_1L,none
1975/03/IMG_0149_2R,none
1975/03/IMG_0150_1L,none
1975/03/IMG_0150_2R,none
1975/03/IMG_0151_1L,none
1975/03/IMG_0151_2R,none,реклама книг
1975/03/IMG_0152_1L,none,подписка
# --- 1970/10: нет второй обложки, оглавление на полосах 1-2
1970/10/IMG_0003_2R,none,обложка
1970/10/IMG_0004_2R,contents
1970/10/IMG_0005_1L,contents
1970/10/IMG_0005_2R,none,первая полоса статьи
1970/10/IMG_0006_1L,none
1970/10/IMG_0047_1L,none
1970/10/IMG_0047_2R,none
1970/10/IMG_0048_1L,none
1970/10/IMG_0048_2R,none
1970/10/IMG_0049_1L,none
1970/10/IMG_0049_2R,none
1970/10/IMG_0050_1L,none
1970/10/IMG_0050_2R,none
1970/10/IMG_0051_1L,none
1970/10/IMG_0051_2R,none
1970/10/IMG_0052_1L,none
1970/10/IMG_0052_2R,none,подписка
# --- 1973/03: шапки нет, оглавление на одной полосе выходных данных
1973/03/IMG_0103_2R,none,обложка
1973/03/IMG_0104_1L,contents
1973/03/IMG_0104_2R,none
1973/03/IMG_0105_1L,none
1973/03/IMG_0105_2R,none
1973/03/IMG_0146_1L,none
1973/03/IMG_0146_2R,none
1973/03/IMG_0147_1L,none
1973/03/IMG_0147_2R,none
1973/03/IMG_0148_1L,none
1973/03/IMG_0148_2R,none
1973/03/IMG_0149_1L,none
1973/03/IMG_0149_2R,none
1973/03/IMG_0150_1L,none
1973/03/IMG_0150_2R,none
1973/03/IMG_0151_1L,none
1973/03/IMG_0151_2R,none,реклама книг
# --- 1973/11: хвост оглавления на выходных данных tesseract не читает
1973/11/IMG_0208_2R,none,обложка
1973/11/IMG_0209_1L,none
1973/11/IMG_0209_2R,contents
1973/11/IMG_0210_1L,contents,хвост в четыре строки
1973/11/IMG_0210_2R,none
1973/11/IMG_0252_1L,none
1973/11/IMG_0252_2R,none
1973/11/IMG_0253_1L,none
1973/11/IMG_0253_2R,none
1973/11/IMG_0254_1L,none
1973/11/IMG_0254_2R,none
1973/11/IMG_0255_1L,none
1973/11/IMG_0255_2R,none
1973/11/IMG_0256_1L,none
1973/11/IMG_0256_2R,none
1973/11/IMG_0257_1L,none
1973/11/IMG_0257_2R,none
# --- 1974/03: хвост оглавления в одну строку
1974/03/IMG_0103_2R,none,обложка
1974/03/IMG_0104_1L,none
1974/03/IMG_0104_2R,contents
1974/03/IMG_0105_1L,contents,хвост в одну строку
