scan_rel_path,issue,page,diagnosis,severity,expect,note
1966/02/IMG_0062_2R.jpg,1966_02,16,текст_рядом,критично,таблица,
1966/02/IMG_0079_2R.jpg,1966_02,50,текст_рядом,критично,таблица,
1966/03/IMG_0114_2R.jpg,1966_03,20,fr_нашёл,плохо,таблица,
1966/03/IMG_0121_2R.jpg,1966_03,34,схема_пополам,критично,нет,
1966/03/IMG_0145_1L.jpg,1966_03,81,текст_рядом,критично,таблица,
1966/05/0160_1L.jpg,1966_05,29,текст_рядом,критично,таблица,"захвачен текст не относящийся к таблице, причём граница таблицы рубит напополам слова и буквы!!!"
1966/06/IMG_0146_2R.jpg,1966_06,86,fr_нашёл,плохо,таблица,
1967/02/IMG_0091_2R.jpg,1967_02,74,график,не_страшно,нет,
1967/02/IMG_0092_1L.jpg,1967_02,75,график,не_страшно,нет,
1967/03/IMG_0109_1L.jpg,1967_03,9,fr_нашёл,плохо,таблица,
1967/05/IMG_0082_1L.jpg,1967_05,58,fr_шум,не_страшно,нет,
1967/05/IMG_0086_1L.jpg,1967_05,66,line_art_кусок,критично,нет,
1967/07/IMG_0037_1L.jpg,1967_07,67,fr_нашёл,плохо,таблица,
1967/07/IMG_0043_2R.jpg,1967_07,80,fr_шум,не_страшно,нет,
1967/07/IMG_0044_1L.jpg,1967_07,81,текст_рядом,критично,таблица,раньше: fr_нашёл
1967/10/IMG_0021_2R.jpg,1967_10,35,текст_рядом,критично,таблица,
1967/10/IMG_0041.jpg,1967_10,74,fr_шум,не_страшно,нет,
1967/12/IMG_0146_2R.jpg,1967_12,89,fr_шум,не_страшно,нет,
1967/12/IMG_0147_1L.jpg,1967_12,90,fr_шум,не_страшно,нет,
1967/12/IMG_0149_1L.jpg,1967_12,94,fr_шум,не_страшно,нет,
1968/01/IMG_0009_2R.jpg,1968_01,10,заголовок_line_art,не_страшно,нет,
1968/01/IMG_0014_2R.jpg,1968_01,20,заголовок_line_art,не_страшно,нет,
1968/01/IMG_0020_1L.jpg,1968_01,31,текст_рядом,критично,таблица,
1968/01/IMG_0042_1L.jpg,1968_01,75,номер_страницы,критично,таблица,
1968/02/IMG_0068_2R.jpg,1968_02,26,fr_шум,не_страшно,нет,
1968/02/IMG_0069_1L.jpg,1968_02,27,fr_нашёл,плохо,таблица,
1968/02/IMG_0070_1L.jpg,1968_02,29,fr_шум,не_страшно,нет,
1968/02/IMG_0070_2R.jpg,1968_02,30,текст_рядом,критично,таблица,
1968/02/IMG_0090_1L.jpg,1968_02,69,блок_схема,не_страшно,нет,
1968/02/IMG_0095_1L.jpg,1968_02,79,схема_целиком,не_страшно,нет,раньше: line_art
1968/04/IMG_0023_1L.jpg,1968_04,39,fr_шум,не_страшно,нет,
1968/04/IMG_0023_2R.jpg,1968_04,40,схема_целиком,не_страшно,нет,раньше: кусок_блок_схемы
1968/05/IMG_0080_2R.jpg,1968_05,55,схема_торчит,плохо,нет,раньше: график
1968/05/IMG_0083_2R.jpg,1968_05,61,есть_ещё_таблицы,плохо,таблица,
1968/05/IMG_0090_1L.jpg,1968_05,74,текст_рядом,критично,таблица,
1968/06/IMG_0122_2R.jpg,1968_06,38,текст_рядом,критично,таблица,
1968/06/IMG_0141_2R.jpg,1968_06,78,расширена,плохо,таблица,
1968/10/IMG_0010_2R.jpg,1968_10,14,режет_текст,плохо,таблица,
1968/12/IMG_0149_2R.jpg,1968_12,92,fr_шум,не_страшно,нет,
1968/12/IMG_0150_1L.jpg,1968_12,93,fr_шум,не_страшно,нет,
1968/12/IMG_0150_2R.jpg,1968_12,94,fr_шум,не_страшно,нет,
1969/01/IMG_0015_1L.jpg,1969_01,23,расширена,плохо,таблица,
1969/02/IMG_0066_2R.jpg,1969_02,26,режет_текст,плохо,таблица,
1969/02/IMG_0067_1L.jpg,1969_02,27,режет_текст,плохо,таблица,
1969/02/IMG_0088_2R.jpg,1969_02,70,текст_рядом,критично,таблица,раньше: fr_нашёл
1969/06/IMG_0124_1L.jpg,1969_06,39,режет_текст,плохо,таблица,
1969/06/IMG_0124_2R.jpg,1969_06,40,режет_текст,плохо,таблица,
1969/06/IMG_0126_2R.jpg,1969_06,44,режет_текст,плохо,таблица,
1969/06/IMG_0137_1L.jpg,1969_06,65,режет_текст,плохо,таблица,
1969/06/IMG_0138_1L.jpg,1969_06,67,fr_нашёл,плохо,таблица,
1969/07/IMG_0010_2R.jpg,1969_07,14,fr_нашёл,плохо,таблица,
1969/08/IMG_0067_2R.jpg,1969_08,28,расширена,плохо,таблица,
1969/08/IMG_0080_1L.jpg,1969_08,53,график,не_страшно,нет,
1969/08/IMG_0081_1L.jpg,1969_08,55,fr_нашёл,плохо,таблица,
1969/11/IMG_0070_1L.jpg,1969_11,38,fr_нашёл,плохо,таблица,
1969/11/IMG_0084_1L.jpg,1969_11,66,line_art_кусок,критично,нет,раньше: line_art
1969/12/IMG_0128_2R.jpg,1969_12,55,есть_ещё_таблицы,плохо,таблица,
1969/12/IMG_0146_2R.jpg,1969_12,91,заголовок_line_art,не_страшно,нет,
1969/12/IMG_0147_2R.jpg,1969_12,93,fr_шум,не_страшно,нет,
1969/12/IMG_0149_1L.jpg,1969_12,96,fr_шум,не_страшно,нет,
1970/01/IMG_0042_2R.jpg,1970_01,78,line_art_кусок,критично,нет,
1970/02/IMG_0085_1L.jpg,1970_02,63,кусок_блок_схемы,критично,,
1970/02/IMG_0092_2R.jpg,1970_02,78,кусок_блок_схемы,критично,,
1970/05/IMG_0054_2R.jpg,1970_05,3,по_буквам,критично,,
1970/06/IMG_0134_1L.jpg,1970_06,62,кусок_блок_схемы,критично,,
1970/06/IMG_0135_1L.jpg,1970_06,64,кусок_блок_схемы,критично,,
1970/06/IMG_0146_2R.jpg,1970_06,87,текст_рядом,критично,таблица,
1970/10/IMG_0005_1L.jpg,1970_10,3,рамка_страницы,не_страшно,нет,
1970/10/IMG_0020_1L.jpg,1970_10,33,номер_страницы,критично,таблица,
1970/10/IMG_0020_2R.jpg,1970_10,34,текст_рядом,критично,таблица,
1970/10/IMG_0044_1L.jpg,1970_10,81,текст_рядом,критично,таблица,
1970/11/IMG_0066_1L.jpg,1970_11,26,номер_страницы,критично,таблица,
1970/11/IMG_0097_1L.jpg,1970_11,88,кусок_блок_схемы,критично,,
1971/01/IMG_0016_1L.jpg,1971_01,28,режет_текст,плохо,таблица,
1971/03/IMG_0121_1L.jpg,1971_03,38,текст_рядом,критично,таблица,раньше: режет_текст
1971/06/IMG_0125_2R.jpg,1971_06,45,fr_шум,не_страшно,нет,
1971/06/IMG_0126_1L.jpg,1971_06,46,без_границ,критично,таблица,раньше: fr_нашёл
1971/06/IMG_0146_2R.jpg,1971_06,87,fr_нашёл,плохо,таблица,
1971/07/IMG_0004_2R.jpg,1971_07,3,рамка_страницы,не_страшно,нет,
1971/07/IMG_0050_2R.jpg,1971_07,95,не_целиком,критично,таблица,
1971/08/IMG_0062_2R.jpg,1971_08,21,кусок_блок_схемы,критично,,
1971/08/IMG_0067_1L.jpg,1971_08,30,fr_шум,не_страшно,нет,
1971/08/IMG_0068_2R.jpg,1971_08,33,не_оценил,неизвестно,,
1971/08/IMG_0087_1L.jpg,1971_08,70,не_целиком,критично,таблица,
1971/09/IMG_0104_1L.jpg,1971_09,4,рамка_страницы,не_страшно,нет,
1971/09/IMG_0150_2R.jpg,1971_09,97,по_буквам,критично,,
1971/09/IMG_0151_1L.jpg,1971_09,98,по_буквам,критично,,раньше: режет_текст
1971/10/IMG_0004_2R.jpg,1971_10,3,рамка_страницы,не_страшно,нет,
1971/10/IMG_0051_2R.jpg,1971_10,97,не_оценил,неизвестно,,
1971/12/IMG_0151_2R.jpg,1971_12,97,fr_шум,не_страшно,нет,
1971/12/IMG_0152_1L.jpg,1971_12,98,fr_шум,не_страшно,нет,
1972/01/IMG_0004_2R.jpg,1972_01,3,рамка_страницы,не_страшно,нет,
1972/01/IMG_0037_2R.jpg,1972_01,69,без_границ,критично,таблица,раньше: не_целиком
1972/01/IMG_0051_1L.jpg,1972_01,96,баннер_призрак,не_страшно,нет,
1972/05/IMG_0086_1L.jpg,1972_05,66,fr_шум,не_страшно,нет,
1972/06/IMG_0117_1L.jpg,1972_06,28,баннер_призрак,не_страшно,нет,
1972/06/IMG_0121_2R.jpg,1972_06,37,режет_текст,плохо,таблица,
1972/06/IMG_0139_2R.jpg,1972_06,73,fr_нашёл,плохо,таблица,
1972/06/IMG_0140_1L.jpg,1972_06,74,fr_шум,не_страшно,нет,
1972/06/IMG_0144_2R.jpg,1972_06,83,не_оценил,неизвестно,,
1972/07/IMG_0040_2R.jpg,1972_07,75,есть_ещё_таблицы,плохо,таблица,
1972/07/IMG_0051_1L.jpg,1972_07,96,по_буквам,критично,,
1972/08/IMG_0068_1L.jpg,1972_08,30,баннер_призрак,не_страшно,нет,
1972/10/IMG_0021_1L.jpg,1972_10,36,есть_ещё_таблицы,плохо,таблица,
1972/11/IMG_0073_1L.jpg,1972_11,38,без_границ,критично,таблица,раньше: есть_ещё_таблицы
1972/12/IMG_0150_2R.jpg,1972_12,93,fr_шум,не_страшно,нет,
1972/12/IMG_0151_1L.jpg,1972_12,94,fr_шум,не_страшно,нет,
1972/12/IMG_0152_1L.jpg,1972_12,96,fr_шум,не_страшно,нет,
1972/12/IMG_0152_2R.jpg,1972_12,97,fr_шум,не_страшно,нет,
1973/01/IMG_0042_1L.jpg,1973_01,78,кусок_блок_схемы,критично,,
1973/01/IMG_0046_2R.jpg,1973_01,87,баннер_призрак,не_страшно,нет,
1973/03/IMG_0140_2R.jpg,1973_03,75,fr_шум,не_страшно,нет,
1973/04/IMG_0030_2R.jpg,1973_04,55,рисунок,не_страшно,нет,
1973/04/IMG_0031_2R.jpg,1973_04,57,рисунок,не_страшно,нет,
1973/04/IMG_0032_1L.jpg,1973_04,58,рисунок,не_страшно,нет,
1973/05/IMG_0054_2R.jpg,1973_05,3,рамка_страницы,не_страшно,нет,
1973/05/IMG_0095_2R.jpg,1973_05,85,fr_шум,не_страшно,таблица,"поправлено: внизу полосы настоящая «Таблица 1», проверено по вырезке"
1973/06/IMG_0114_1L.jpg,1973_06,22,баннер_призрак,не_страшно,нет,
1973/06/IMG_0141_2R.jpg,1973_06,77,баннер_призрак,не_страшно,нет,
1973/07/IMG_0043_1L.jpg,1973_07,80,баннер_призрак,не_страшно,нет,
1973/08/IMG_0062_1L.jpg,1973_08,18,fr_нашёл,плохо,таблица,
1973/08/IMG_0064_1L.jpg,1973_08,22,fr_нашёл,плохо,таблица,
1973/08/IMG_0064_2R.jpg,1973_08,23,режет_текст,плохо,таблица,
1973/08/IMG_0065_1L.jpg,1973_08,24,текст_рядом,критично,таблица,раньше: fr_нашёл
1973/08/IMG_0065_2R.jpg,1973_08,25,без_границ,критично,таблица,раньше: не_оценил
1973/08/IMG_0068_2R.jpg,1973_08,31,не_оценил,неизвестно,,
1973/08/IMG_0069_1L.jpg,1973_08,32,без_границ,критично,таблица,раньше: не_оценил
1973/10/IMG_0159_2R.jpg,1973_10,3,рамка_страницы,не_страшно,нет,
1973/10/IMG_0171_2R.jpg,1973_10,27,кусок_блок_схемы,критично,,
1973/10/IMG_0183_1L.jpg,1973_10,50,без_границ,критично,таблица,раньше: режет_текст
1973/10/IMG_0183_2R.jpg,1973_10,51,fr_шум,не_страшно,нет,
1973/11/IMG_0209_2R.jpg,1973_11,3,рамка_страницы,не_страшно,нет,
1973/11/IMG_0244_2R.jpg,1973_11,73,fr_шум,не_страшно,нет,
1973/12/IMG_0300_2R.jpg,1973_12,85,режет_текст,плохо,таблица,
1973/12/IMG_0301_1L.jpg,1973_12,86,перекос,критично,таблица,раньше: режет_текст
1973/12/IMG_0304_1L.jpg,1973_12,92,fr_шум,не_страшно,нет,
1973/12/IMG_0305_1L.jpg,1973_12,94,fr_шум,не_страшно,нет,
1973/12/IMG_0306_1L.jpg,1973_12,96,fr_шум,не_страшно,нет,
