scan_rel_path,page,x0,y0,x1,y1,dpi,verdict,note
1966/01/IMG_0043_1L.jpg,77,69,1020,840,1477,150,таблица,таблица
1966/01/IMG_0044_1L.jpg,79,61,222,831,374,150,таблица,таблица
1966/01/IMG_0048_2R.jpg,88,333,423,602,775,150,нет,рамка
1966/01/IMG_0052_2R.jpg,96,52,248,845,530,150,нет,рамка
1966/01/IMG_0052_2R.jpg,96,51,977,843,1403,150,нет,рамка
1966/01/IMG_0053_1L.jpg,97,55,90,832,652,150,нет,рамка
1966/02/IMG_0088_2R.jpg,68,132,688,761,1019,150,таблица,таблица
1966/02/IMG_0094_2R.jpg,80,403,176,816,847,150,таблица,таблица
1966/02/IMG_0095_1L.jpg,81,84,894,820,1433,150,нет,рамка
1966/02/IMG_0102_1L.jpg,95,85,699,818,1191,150,таблица,таблица
1966/03/IMG_0114_1L.jpg,19,67,400,514,759,150,таблица,таблица
1966/03/IMG_0121_1L.jpg,33,64,314,809,972,150,таблица,таблица
1966/03/IMG_0122_1L.jpg,35,136,359,782,742,150,нет,чертёж
1966/03/IMG_0123_1L.jpg,37,241,320,615,715,150,нет,чертёж
1966/03/IMG_0144_2R.jpg,80,64,807,800,1062,150,таблица,таблица
1966/03/IMG_0145_1L.jpg,81,56,666,511,1006,150,таблица,таблица
1966/03/IMG_0152_2R.jpg,96,67,125,801,1425,150,нет,рамка
1966/05/0160_2R.jpg,30,68,161,818,400,150,нет,график
1966/05/0350_2R.jpg,68,430,847,804,1170,150,таблица,таблица
1966/05/0500_1L.jpg,97,58,752,797,1389,150,нет,рамка
1966/06/IMG_0115_1L.jpg,23,208,442,688,650,150,нет,чертёж
1966/06/IMG_0116_1L.jpg,25,70,664,507,1118,150,таблица,таблица
1966/06/IMG_0130_1L.jpg,53,71,307,446,673,150,таблица,таблица
1966/06/IMG_0130_1L.jpg,53,78,717,444,1109,150,таблица,таблица
1966/06/IMG_0131_1L.jpg,55,82,705,508,1205,150,таблица,таблица
1966/06/IMG_0134_2R.jpg,62,450,845,816,1161,150,таблица,таблица
1966/06/IMG_0152_1L.jpg,97,80,380,819,860,150,нет,рамка
1966/02/IMG_0062_2R.jpg,,397,836,836,1080,150,таблица,таблица
1966/01/IMG_0017_2R.jpg,,385,123,827,580,150,таблица,таблица
1966/01/IMG_0017_2R.jpg,,387,645,831,1187,150,таблица,таблица
1966/02/IMG_0078_1L.jpg,,66,429,842,644,150,таблица,таблица
1966/02/IMG_0083_2R.jpg,,394,278,837,498,150,таблица,таблица
1966/06/IMG_0137_2R.jpg,,120,758,765,1401,150,таблица,таблица
1967/03/IMG_0140_2R.jpg,,67,257,794,539,150,таблица,таблица
1969/06/IMG_0133_2R.jpg,,74,158,806,803,150,таблица,таблица
1969/11/IMG_0058_1L.jpg,,70,181,808,585,150,таблица,таблица
1970/02/IMG_0059_1L.jpg,,49,604,827,1062,150,таблица,таблица
1970/06/IMG_0115_1L.jpg,,79,985,859,1423,150,таблица,таблица
1970/05/IMG_0088_1L.jpg,,112,1155,776,1455,150,таблица,таблица
1971/03/IMG_0104_1L.jpg,,62,89,815,1398,150,нет,колофон
1972/01/IMG_0037_2R.jpg,,49,1186,817,1338,150,таблица,таблица
1972/06/IMG_0105_1L.jpg,,65,87,820,1386,150,нет,колофон
1973/05/IMG_0097_2R.jpg,,72,151,807,452,150,таблица,таблица
1973/05/IMG_0097_2R.jpg,,57,1168,816,1408,150,таблица,таблица
1973/04/IMG_0028_2R.jpg,,56,856,837,1424,150,таблица,таблица
1973/07/IMG_0036_1L.jpg,,84,612,441,1052,150,нет,блок-схема
1974/10/IMG_0029_1L.jpg,,55,609,772,840,150,нет,чертёж
1974/05/IMG_0072_2R.jpg,,66,109,832,462,150,таблица,таблица
1976/07/IMG_0040_1L.jpg,,154,182,733,415,150,таблица,таблица
1976/07/IMG_0040_1L.jpg,,156,1038,733,1400,150,таблица,таблица
1976/01/IMG_0015_1L.jpg,,59,985,789,1217,150,таблица,таблица
1976/04/IMG_0005_1L.jpg,,53,91,801,1408,150,нет,колофон
1968/04/IMG_0023_1L.jpg,,199,115,1431,599,150,нет,линейки не образуют 
1970/11/IMG_0094_2R.jpg,,118,785,774,1042,150,нет,линейки не образуют 
1971/09/IMG_0142_2R.jpg,,56,430,801,658,150,таблица,бланк
1972/01/IMG_0037_2R.jpg,,48,626,818,999,150,таблица,бланк
1973/07/IMG_0036_1L.jpg,,63,348,445,557,150,нет,линейки не образуют 
1973/06/IMG_0104_2R.jpg,,84,91,828,1411,150,нет,одна внутренняя лине
1974/10/IMG_0029_1L.jpg,,71,1027,778,1259,150,нет,нет внутренних верти
1976/03/IMG_0104_2R.jpg,,65,100,773,1396,150,нет,одна внутренняя лине
1969/06/IMG_0137_1L.jpg,65,102,212,1415,774,150,таблица,график работ
